group,panel,cip_res,cro_res,nda_res,threshold_price,threshold_lower,threshold_upper,strategy
MSW,cip,0.3,0.125,0.05,27.639255869528043,-115.54149250857334,167.96996290369495,CIP
MSW,cip+cro,0.3,0.125,0.05,34.548352823639085,-108.95823185895975,182.49914726213797,CIP+CRO
MSW,cip+cro+nda,0.3,0.125,0.05,35.47181198584193,-105.29025763579864,186.90515834276482,CIP+CRO+NDA
MSW,cip,0.3,0.15,0.05,32.35624599959484,-96.5176212299125,170.83543819980187,CIP
MSW,cip+cro,0.3,0.15,0.05,42.18710796955576,-95.2004932915583,182.86776751977675,CIP+CRO
MSW,cip+cro+nda,0.3,0.15,0.05,45.426371912835684,-102.54629894256765,201.65419901915627,CIP+CRO+NDA
MSW,cip,0.5,0,0.05,2.264958833313734,-136.03694552775576,150.26760926237364,CIP
MSW,cip+cro,0.5,0,0.05,2.7583670565718648,-125.83853967860333,144.9207979597791,CIP+CRO
MSW,cip+cro+nda,0.5,0,0.05,-1.4966813944978172,-143.2357245608497,141.00956017683964,CIP+CRO+NDA
MSW,cip,0.5,0.025,0.05,0.519030413115566,-140.91819330641243,148.61653726240047,CIP
MSW,cip+cro,0.5,0.025,0.05,6.683593726152667,-145.22208533208024,159.62425758890404,CIP+CRO
MSW,cip+cro+nda,0.5,0.025,0.05,10.035244219801204,-138.81134743339632,153.85106239906588,CIP+CRO+NDA
MSW,cip,0.5,0.05,0.05,7.990430978174871,-125.75218494978812,150.36578847106597,CIP
MSW,cip+cro,0.5,0.05,0.05,11.674435986556958,-128.18976985182385,151.24047961835328,CIP+CRO
MSW,cip+cro+nda,0.5,0.05,0.05,14.94441564456318,-122.80992258754861,162.06776229495964,CIP+CRO+NDA
MSW,cip,0.5,0.075,0.05,9.868352324955227,-141.82710719885122,157.50582414920123,CIP
MSW,cip+cro,0.5,0.075,0.05,22.12437129510158,-114.69289092273115,162.0687406765169,CIP+CRO
MSW,cip+cro+nda,0.5,0.075,0.05,18.125581888406785,-126.51800971559645,168.92764288068003,CIP+CRO+NDA
MSW,cip,0.5,0.1,0.05,13.942799301704728,-127.05354684716394,156.32497244567682,CIP
MSW,cip+cro,0.5,0.1,0.05,32.92106692870635,-104.66025518274247,178.62159858081398,CIP+CRO
MSW,cip+cro+nda,0.5,0.1,0.05,28.38776413885654,-111.16032554663974,178.39638688882783,CIP+CRO+NDA
MSW,cip,0.5,0.125,0.05,20.45336424200018,-115.37710908397727,168.3393474664916,CIP
MSW,cip+cro,0.5,0.125,0.05,33.94446619837225,-112.59572432925923,175.03088753232458,CIP+CRO
MSW,cip+cro+nda,0.5,0.125,0.05,32.7218273219707,-106.99093417345473,172.91242798734214,CIP+CRO+NDA
MSW,cip,0.5,0.15,0.05,21.904390862601886,-117.44439058984592,159.85563394815486,CIP
MSW,cip+cro,0.5,0.15,0.05,40.70000705563408,-109.44529527165446,193.29988417630003,CIP+CRO
MSW,cip+cro+nda,0.5,0.15,0.05,45.107281661306246,-97.90132378972723,185.98021284255407,CIP+CRO+NDA
MSW,cip,0.7,0,0.05,1.97838533997131,-140.1502751407486,165.9665500080785,CIP
MSW,cip+cro,0.7,0,0.05,-2.955465846998681,-147.48722887606655,152.0237163687279,CIP+CRO
MSW,cip+cro+nda,0.7,0,0.05,-3.60540710457552,-144.21620090215927,134.58070094982136,CIP+CRO+NDA
MSW,cip,0.7,0.025,0.05,0.27492755367454774,-135.77740289121374,142.73522383263176,CIP
MSW,cip+cro,0.7,0.025,0.05,4.527582822659113,-139.4334597180246,144.97775154760112,CIP+CRO
MSW,cip+cro+nda,0.7,0.025,0.05,2.9669915547490975,-136.15832668568336,148.26462097893256,CIP+CRO+NDA
MSW,cip,0.7,0.05,0.05,0.746672112565936,-156.27524040057395,135.56341575792587,CIP
MSW,cip+cro,0.7,0.05,0.05,11.61323885509893,-127.03895214970856,156.57642395833307,CIP+CRO
MSW,cip+cro+nda,0.7,0.05,0.05,13.410582454474984,-142.05900010044368,159.43557095656197,CIP+CRO+NDA
MSW,cip,0.7,0.075,0.05,5.943784329504032,-128.76796543954453,159.66208157933002,CIP
MSW,cip+cro,0.7,0.075,0.05,18.147397439123708,-136.25839667577287,160.32022450785516,CIP+CRO
MSW,cip+cro+nda,0.7,0.075,0.05,16.939828996098033,-121.33042657113509,156.2781722671032,CIP+CRO+NDA
MSW,cip,0.7,0.1,0.05,8.479422688204064,-127.60018819858607,148.3508024696905,CIP
MSW,cip+cro,0.7,0.1,0.05,27.269964794689983,-109.08865084479207,165.97515145854823,CIP+CRO
MSW,cip+cro+nda,0.7,0.1,0.05,27.290616173662023,-125.65779908987619,186.3816166103036,CIP+CRO+NDA
MSW,cip,0.7,0.125,0.05,11.278519007808443,-111.69463993059564,153.48909562118166,CIP
MSW,cip+cro,0.7,0.125,0.05,27.834536154666157,-107.70247028819786,171.30572919596054,CIP+CRO
MSW,cip+cro+nda,0.7,0.125,0.05,32.88549282774363,-108.63082901652028,172.1045045387628,CIP+CRO+NDA
MSW,cip,0.7,0.15,0.05,15.56723351659829,-127.43872182035501,151.16518034878308,CIP
MSW,cip+cro,0.7,0.15,0.05,40.58924275886918,-108.02592895901678,193.53211252329106,CIP+CRO
MSW,cip+cro+nda,0.7,0.15,0.05,37.41571134874099,-99.22153963440617,182.16952020521677,CIP+CRO+NDA
WSM,cip,0.1,0,0.05,3.4423248179673926,-201.25258707645824,210.02160499361673,CIP
WSM,cip+cro,0.1,0,0.05,0.07152903381944904,-216.33783245541017,206.15109297411456,CIP+CRO
WSM,cip+cro+nda,0.1,0,0.05,0.1586227495021023,-203.61756960023376,218.50368276854297,CIP+CRO+NDA
WSM,cip,0.1,0.025,0.05,10.78108723258062,-189.79323135687184,229.58574817858775,CIP
WSM,cip+cro,0.1,0.025,0.05,8.856915802166894,-188.22771306990825,216.8964795150695,CIP+CRO
WSM,cip+cro+nda,0.1,0.025,0.05,12.061940691112149,-194.0550694693097,223.11427284819675,CIP+CRO+NDA
WSM,cip,0.1,0.05,0.05,20.695677753529463,-177.26209985381058,239.9469427471384,CIP
WSM,cip+cro,0.1,0.05,0.05,17.401663930375523,-183.44390784818614,237.8758487770727,CIP+CRO
WSM,cip+cro+nda,0.1,0.05,0.05,11.612282526950633,-180.90359032085712,205.10810639592225,CIP+CRO+NDA
WSM,cip,0.1,0.075,0.05,23.68851816936625,-182.24538322240835,256.35977393934724,CIP
WSM,cip+cro,0.1,0.075,0.05,24.62588252479676,-178.21108561622356,241.11073643543645,CIP+CRO
WSM,cip+cro+nda,0.1,0.075,0.05,24.76268908943011,-181.31146670077916,222.3262053809712,CIP+CRO+NDA
WSM,cip,0.1,0.1,0.05,24.923709956033267,-183.18282493454743,215.7904578111546,CIP
WSM,cip+cro,0.1,0.1,0.05,37.14016205523597,-174.85181508444427,253.59308379433435,CIP+CRO
WSM,cip+cro+nda,0.1,0.1,0.05,28.740885318540787,-177.82633447104598,251.55169458927753,CIP+CRO+NDA
WSM,cip,0.1,0.125,0.05,30.87562740927049,-177.7504370902773,241.59345294786246,CIP
WSM,cip+cro,0.1,0.125,0.05,40.15463164556067,-162.79781425540585,256.53974392373027,CIP+CRO
WSM,cip+cro+nda,0.1,0.125,0.05,37.33154165903779,-172.1100178779906,244.65562268546012,CIP+CRO+NDA
WSM,cip,0.1,0.15,0.05,38.790051099373166,-159.13252091846138,237.4082089561859,CIP
WSM,cip+cro,0.1,0.15,0.05,44.07363652950277,-171.03077624923608,277.50988205233347,CIP+CRO
