cip_res,cro_res,nda_res,strategy,threshold_price,threshold_lower,threshold_upper
0.5,0.125,0.05,CIP,18.839574739657948,12.41240265215025,26.05880392372109
0.5,0.125,0.05,CIP+CRO,33.26610900527669,23.315708820031862,43.75102748132738
0.5,0.125,0.05,CIP+CRO+NDA,34.21152575702867,24.262068236910398,43.92780240887078
0.5,0.15,0,CIP,22.82651384638635,15.793759960741932,30.34690249088982
0.5,0.15,0,CIP+CRO,41.87121408570162,30.6825779061666,54.10012856946627
0.5,0.15,0,CIP+CRO+NDA,41.722060058322405,30.776357864063204,53.22685160735161
0.5,0.15,0.05,CIP,22.966250920889962,15.663956810857675,30.59702806058119
0.5,0.15,0.05,CIP+CRO,40.31860343927621,29.18440713612341,51.220887511954366
0.5,0.15,0.05,CIP+CRO+NDA,41.79030395617492,30.22669448210187,53.866161965929564
0.7,0,0,CIP,-1.884812283082339,-3.8427220473451498,-0.41159696842527405
0.7,0,0,CIP+CRO,-2.7143410804247172,-4.7246326771644185,-1.1827534071763663
0.7,0,0,CIP+CRO+NDA,-2.7300716563338083,-4.880176460483171,-1.2364452333949203
0.7,0,0.05,CIP,-1.8123562945083,-3.8432551298450286,-0.39298807067210295
0.7,0,0.05,CIP+CRO,-2.973925166913316,-5.131903743045073,-1.332121598348633
0.7,0,0.05,CIP+CRO+NDA,-2.7244769673608924,-4.715520796214043,-1.251202541324829
0.7,0.025,0,CIP,0.6503653487160805,-1.7636473689701992,3.344746871015753
0.7,0.025,0,CIP+CRO,4.182007269258896,0.5742754465185206,8.413527869953935
0.7,0.025,0,CIP+CRO+NDA,4.251219786048812,0.767304561187836,8.436623518712475
0.7,0.025,0.05,CIP,0.6164155253223514,-1.9493058663963696,3.1147320625352797
0.7,0.025,0.05,CIP+CRO,3.8222429794172013,0.21887314360021015,7.928148085092366
0.7,0.025,0.05,CIP+CRO+NDA,4.266251449951997,0.7941079747510521,8.218454475701462
0.7,0.05,0,CIP,2.96310997387466,0.015276124805141332,6.129599182192786
0.7,0.05,0,CIP+CRO,11.147458995493434,6.211094996777808,16.834766308866193
0.7,0.05,0,CIP+CRO+NDA,11.03404021241128,5.924743646962382,16.534049693274216
0.7,0.05,0.05,CIP,3.0614924816537243,0.17082309125215808,6.4389749358528086
0.7,0.05,0.05,CIP+CRO,10.486400548015519,5.593277890218411,16.079926469139043
0.7,0.05,0.05,CIP+CRO+NDA,11.050419552492395,6.00583906376732,16.890608094689565
0.7,0.075,0,CIP,5.510861053544715,2.167891197693228,9.523496728707366
0.7,0.075,0,CIP+CRO,18.044668901163075,11.375420970685223,24.77979666901867
0.7,0.075,0,CIP+CRO+NDA,18.209650126671548,11.776330792669745,25.254542508326033
0.7,0.075,0.05,CIP,5.4185085990471045,1.9959128960969068,9.458219628202459
0.7,0.075,0.05,CIP+CRO,16.87456128718799,10.70372815615191,24.353604795155952
0.7,0.075,0.05,CIP+CRO+NDA,18.213754480726628,11.745254563266135,25.97828773544407
0.7,0.1,0,CIP,7.86111183257437,4.100614821007734,12.413531447296533
0.7,0.1,0,CIP+CRO,25.01141199885081,17.540731925562532,34.067580199981116
0.7,0.1,0,CIP+CRO+NDA,25.15213657070333,17.19851133011286,33.72118884125577
0.7,0.1,0.05,CIP,7.856290968915885,3.9270154654539144,12.34167484952798
0.7,0.1,0.05,CIP+CRO,23.690546151826005,15.784860007244982,33.50807965034618
0.7,0.1,0.05,CIP+CRO+NDA,24.722651837807078,17.286596878036153,33.201024603372964
0.7,0.125,0,CIP,10.371016255603847,5.917320793043818,15.815115425637794
0.7,0.125,0,CIP+CRO,31.995240652320156,22.14796988100747,42.62273547953676
0.7,0.125,0,CIP+CRO+NDA,31.867384964770892,22.55983834226305,42.682133595870624
0.7,0.125,0.05,CIP,10.372762768550356,5.854487644880251,15.576095321382343
0.7,0.125,0.05,CIP+CRO,30.417833778235817,20.721753539837263,40.426649910228875
0.7,0.125,0.05,CIP+CRO+NDA,31.688066478548933,22.36536774184485,42.349379488488225
0.7,0.15,0,CIP,12.729964720343785,7.346234397870631,18.367967935610476
0.7,0.15,0,CIP+CRO,39.077970768125695,27.454885750025223,51.01517479088918
0.7,0.15,0,CIP+CRO+NDA,38.82876777732932,28.214420099141392,50.950715834063274
0.7,0.15,0.05,CIP,12.780331902693778,7.764698050892168,18.823382633985528
0.7,0.15,0.05,CIP+CRO,36.829162774745285,25.84304311098204,48.58759772697123
0.7,0.15,0.05,CIP+CRO+NDA,39.02448633063956,28.228199856915218,51.09531466695048
